spec_id,version,stage,mode,context,start,end,provider,model,cost_usd,input_tokens,cached_input_tokens,output_tokens,spec_size_kb,plan_size_kb,prd_size_kb,diff_lines,session_id
26_07_22_16_end-game-window-goal-hint,1.62,implement,automated,fresh,2026-07-23T20:46:38.971579Z,2026-07-23T20:50:41.628317Z,claude,claude-sonnet-5,0.5913486,26,752102,24376,15.83,39.08,12.31,,a15d270b-ca58-499b-85c2-b0d97112ddbe
26_07_22_16_end-game-window-goal-hint,1.62,implement,automated,fresh,2026-07-23T20:50:41.637329Z,2026-07-23T20:52:05.506144Z,claude,claude-sonnet-5,0.3104244,38,828918,4109,15.83,39.08,12.31,,3eb70c2f-caa4-49b6-95e9-23617721edc5
26_07_22_16_end-game-window-goal-hint,1.62,implement,automated,fresh,2026-07-23T20:52:05.515972Z,2026-07-23T20:53:14.419991Z,claude,claude-sonnet-5,0.2949576,32,818172,3294,15.83,39.08,12.31,,57096ba8-2e61-44a0-aba7-b527a494e4fa
26_07_22_16_end-game-window-goal-hint,1.62,implement,automated,fresh,2026-07-23T20:53:14.428086Z,2026-07-23T20:55:05.605801Z,claude,claude-sonnet-5,0.45034739999999995,52,1186688,6279,15.83,39.08,12.31,,2a16eac4-1ab3-4a45-b62a-c1aedcf77fb4
26_07_22_16_end-game-window-goal-hint,1.62,implement,automated,fresh,2026-07-23T20:55:05.615599Z,2026-07-23T20:56:29.447252Z,claude,claude-sonnet-5,0.33437459999999997,36,846822,5348,15.83,39.08,12.31,,f32f7cad-2b2e-461d-8e5f-d4e4df04c636
26_07_22_16_end-game-window-goal-hint,1.62,implement,automated,fresh,2026-07-23T20:56:29.456461Z,2026-07-23T20:58:53.679318Z,claude,claude-sonnet-5,0.45853710000000003,42,1085587,8849,15.83,39.08,12.31,,fd8372fe-336a-405c-af85-903b38b2db9e
26_07_22_16_end-game-window-goal-hint,1.65,implement,automated,fresh,2026-07-24T02:34:08.088756Z,2026-07-24T02:34:39.966003Z,claude,claude-sonnet-5,0.1113393,14,274191,1936,15.83,39.08,12.31,,20600411-a7e3-496d-8cb2-aa5d95775168
26_07_22_16_end-game-window-goal-hint,1.65,implement,automated,fresh,2026-07-24T02:34:39.972032Z,2026-07-24T02:41:06.311152Z,claude,claude-sonnet-5,1.0935012,84,2696964,18944,15.83,39.08,12.31,,b59e9707-01b0-45cc-a2e7-f5bd33371950
26_07_22_16_end-game-window-goal-hint,1.65,implement,automated,fresh,2026-07-24T02:41:06.322233Z,2026-07-24T02:43:11.463239Z,claude,claude-sonnet-5,0.38085270000000004,38,981129,5760,15.83,39.08,12.31,,b8140a4c-189a-4b71-8d94-1839734df3d8
26_07_22_16_end-game-window-goal-hint,1.65,implement,automated,fresh,2026-07-24T02:43:11.473296Z,2026-07-24T02:44:57.537295Z,claude,claude-sonnet-5,0.3583533,38,883381,6215,15.83,39.08,12.31,,a27d78f2-2801-47b6-a3f6-ad22cc923e05
26_07_22_16_end-game-window-goal-hint,1.65,implement,automated,fresh,2026-07-24T02:44:57.547344Z,2026-07-24T02:46:03.921461Z,claude,claude-sonnet-5,0.3442581,38,893297,5077,15.83,39.08,12.3,,48082984-98ea-4a69-8e1c-8943f2811a3e
26_07_22_16_end-game-window-goal-hint,1.65,implement,automated,fresh,2026-07-24T02:46:03.937360Z,2026-07-24T02:47:38.072475Z,claude,claude-sonnet-5,0.26322660000000003,30,699972,3543,15.83,39.08,12.3,,5a6305c2-90ec-44ba-ac0d-5b13f24ee714
